article_name,nb_in_unfinished_paths,nb_in_finished_paths,nb_links,views
John A.T. Robinson,0,0,6,175.8640776699029
John Adams,8,34,48,194730.66019417476
John Bull (locomotive),0,2,13,2694.135922330097
John Cabot,19,23,19,32140.922330097088
John Calvin,10,17,39,52482.98058252427
John Constable,6,21,20,15985.029126213592
John Dee,6,26,45,24275.679611650485
John F. Kennedy,44,163,155,579614.3300970874
John F. Kennedy assassination,12,46,27,5071.223300970873
John Flamsteed,0,14,15,2319.5631067961167
John Henninger Reagan,0,0,7,2096.8252427184466
John Howard,4,21,38,27204.11650485437
John Locke,17,54,85,107064.3495145631
John Logie Baird,5,18,18,29088.514563106797
John Marshall,1,8,24,29427.058252427185
John Maynard Keynes,10,32,43,60884.30097087379
John McEnroe,6,18,39,121955.03883495145
John Millington Synge,4,7,26,6176.825242718447
John Milton,9,21,36,56245.22330097087
John Pershing,4,11,50,1902.9223300970873
"John Seigenthaler, Sr.",4,6,8,146.2135922330097
John Sentamu,3,13,13,6440.961165048544
John Tyler,2,8,19,82744.1359223301
John Vanbrugh,5,13,43,3527.4466019417478
John W. Campbell,2,6,7,6290.8932038834955
John W. Johnston,0,1,10,705.6116504854369
John of England,5,46,52,7064.543689320389
John von Neumann,6,32,56,77393.58252427184
Johnny Appleseed,4,17,12,38307.922330097084
Johnston Atoll,0,12,15,20462.398058252427
Jomsvikings,5,10,7,8578.203883495145
Jonah Lomu,4,7,20,52452.30097087379
Jonathan Wild,2,5,12,4973.495145631068
Jordan,8,73,203,197937.78640776698
Jordan River,13,43,32,28433.95145631068
Jordanhill railway station,0,0,7,872.1747572815534
Jorge Luis Borges,7,16,81,43594.71844660194
Joseph Haydn,6,22,27,45845.66019417476
Joseph Stalin,14,63,120,412808.4368932039
Joseph and the Amazing Technicolor Dreamcoat,0,4,10,38624.446601941745
Josephus,3,13,22,35133.69902912621
Juan Sebastián Elcano,4,2,16,10147.339805825242
Judaism,80,301,212,174729.6796116505
Juice,13,53,19,18441.563106796115
Julius Caesar,42,108,70,311180.06796116504
Julius and Ethel Rosenberg,0,0,15,64901.077669902916
July 2006 Java earthquake,1,3,13,104.32038834951456
Jump rope,5,17,15,880.9514563106796
Juniper berry,5,8,28,26523.165048543688
Jupiter,121,256,132,185268.88349514562
Jupiter (mythology),25,32,21,50118.63106796116
Jurassic,45,147,77,44505.029126213594
Juvenile delinquency,10,24,7,24274.660194174758
Jyllands-Posten Muhammad cartoons controversy,1,6,33,18812.912621359224
Kīlauea,2,7,7,30610.796116504855
Kaffir lime,0,3,12,18260.844660194176
Kakapo,6,20,31,25720.81553398058
Kakariki,0,0,11,225.7843137254902
Kangaroo,16,80,37,89581.26213592233
"Kansas City, Missouri",14,23,64,98024.74757281554
Karachi,11,17,50,90766.45631067961
Kargil War,1,9,26,103871.28155339806
Karikkoselkä,0,0,5,132.19417475728156
Karl Benz,10,23,15,25702.66990291262
Karl Marx,18,90,113,250459.78640776698
Karl Popper,9,25,50,38301.7572815534
Kashmir region,4,21,48,746.4368932038835
Katana,5,51,9,58501.6213592233
Katyn massacre,0,0,24,46377.912621359224
Kazakhstan,24,91,136,279038.9417475728
Keira Knightley,5,35,11,298629.52427184465
Kenya,78,246,238,166409.78640776698
Kerala,13,21,95,197803.3495145631
Kestrel,0,4,17,13630.52427184466
Keurusselkä,0,0,11,376.252427184466
Kevin Spacey,4,12,15,314996.145631068
Khan Wali Khan,6,6,11,109.7378640776699
Khartoum,2,24,36,31915.679611650485
Khazars,5,10,75,46835.28155339806
Khudai Khidmatgar,2,12,6,4563.1067961165045
Kidnapped (novel),0,0,10,9851.650485436894
Kiev,6,25,78,48175.7572815534
Kigali,1,13,21,20959.97087378641
Kigo,3,7,56,2598.21359223301
King Arthur,9,31,50,181380.2718446602
King Kong (1933 film),7,5,22,34570.398058252424
King Kong (2005 film),9,3,19,74452.38834951456
Kingman Reef,2,5,8,8198.40776699029
Kipchaks in Georgia,0,0,9,436.05825242718447
Kiribati,3,11,44,88511.08737864078
Kite (bird),4,12,15,14316.174757281553
Kitsch,1,3,30,34620.19417475728
Klinefelter's syndrome,0,0,1,5253.349514563107
Knights of Columbus,0,1,45,33338.47572815534
Kochi (India),6,6,46,631.0388349514564
Kofi Annan,9,20,55,55538.7572815534
Kohlberg's stages of moral development,3,2,12,2488.21359223301
Kolkata,6,14,57,130097.77669902913
Konrad Lorenz,0,5,21,10331.815533980582
Kookaburra,8,35,9,26633.456310679612
Korea,18,98,395,125789.79611650485
Koryaksky,1,26,8,2560.0679611650485
Kosovo,7,20,83,208559.11650485438
Krag-Jørgensen,0,1,8,1155.8640776699028
Krakatoa,6,17,28,61268.46601941747
Krazy Kat,5,11,20,6982.019417475728
Krill,8,50,41,23841.679611650485
Krypton,8,28,56,33738.74757281553
Ku Klux Klan,22,67,43,359184.1359223301
Kuala Lumpur,9,21,29,93693.41747572816
Kubla Khan,5,9,12,26595.126213592233
Kuiper belt,3,15,26,41313.33980582524
Kurt Cobain,22,56,30,317372.4563106796
Kuru (disease),2,3,12,53563.09708737864
Kuwait,10,78,111,156246.12621359224
Kuwait City,8,36,13,25817.058252427185
Kylie Minogue,12,21,36,194337.66019417476
Kyoto Protocol,7,40,54,62540.94174757282
Kyrgyzstan,7,19,91,149921.73786407767
L. S. Lowry,5,4,11,18430.718446601943
LANSA Cuzco Crash,0,0,3,13.911764705882353
La Grande Armée,1,1,40,841.4854368932039
La Paz,8,50,14,34027.59223300971
Labor Day Hurricane of 1935,2,21,29,1148.126213592233
Ladysmith Black Mambazo,4,9,18,11285.368932038835
Lagos,5,21,20,83774.4854368932
Laika,8,17,30,66738.49514563107
Lake Albert,3,13,18,179.35294117647058
Lake Baikal,4,22,28,83110.08737864078
Lake Burley Griffin,6,11,13,3597.349514563107
Lake Chad,1,24,20,17612.388349514564
Lake District,6,24,38,32320.038834951458
Lake Edward,1,21,16,1584.9611650485438
Lake Kariba,3,12,16,5142.0097087378645
Lake Kivu,2,13,16,8261.009708737864
Lake Malawi,4,12,19,11165.436893203883
Lake Mead,9,22,12,28693.398058252427
Lake Powell,4,13,10,22123.436893203885
Lake Superior,14,33,40,51933.203883495145
Lake Tahoe,2,31,12,69800.29126213593
Lake Tanganyika,5,29,49,20522.466019417476
Lake Titicaca,6,26,12,31100.495145631066
Lake Toba,4,19,18,19231.368932038837
Lake Turkana,2,22,17,8404.174757281553
Lake Victoria,4,35,35,34187.28155339806
Lake Vostok,4,15,22,14759.95145631068
Lance Armstrong,8,25,15,124858.39805825242
Lancia Flaminia,0,0,6,2483.1747572815534
Land (economics),13,8,7,4823.9902912621355
Landform,35,43,30,19912.203883495145
Landscape,15,33,18,31101.766990291264
Language,143,442,134,133428.68932038834
Lanthanum,4,16,42,15506.883495145632
Laos,3,34,96,135284.87378640776
Laozi,3,13,12,78221.99029126213
Las Palmas de Gran Canaria,6,16,7,3848.019417475728
"Las Vegas, Nevada",16,38,60,17836.485436893203
Last Supper,24,60,46,45937.53398058253
Latin,260,647,786,149393.00970873787
Latin America,87,228,201,102381.1359223301
Latin alphabet,48,109,82,65255.038834951454
Latvia,6,30,150,161311.1941747573
Laurence Olivier,11,26,31,101376.7281553398
Laurent Fignon,2,11,7,5370.436893203883
Lavender,7,13,17,5883.0873786407765
Law,52,121,328,98670.01941747573
Lawn,15,21,24,13337.990291262136
Lawrencium,5,20,22,10977.155339805826
Laws in Wales Acts 1535–1542,9,13,20,1454.893203883495
Layla,1,12,8,32057.533980582524
Lead,15,63,145,87124.28155339806
Lead(II) nitrate,0,0,18,8180.339805825242
League of Nations,33,101,137,86348.03883495145
Leaning Tower of Pisa,4,31,13,115406.14563106796
Lebanon,21,68,306,246836.6990291262
Leeds,6,29,53,63321.94174757282
Lego,0,2,24,82745.97087378641
Leicester,3,20,65,63547.728155339806
Leif Ericson,7,36,18,3879.640776699029
Leisure,21,23,15,17527.11650485437
Lemon,18,124,79,61743.1359223301
Lemon balm,4,12,15,19496.59223300971
Lemon myrtle,2,11,10,431.1747572815534
Lens (anatomy),11,26,13,13269.300970873786
Leo (constellation),0,0,14,16840.04854368932
Leo Tolstoy,5,19,51,118899.57281553397
Leon Trotsky,8,42,62,130111.00970873787
Leonardo da Vinci,41,166,81,331256.0582524272
Leonhard Euler,6,25,53,54137.49514563107
Lerwick,6,18,15,12219.26213592233
Lesotho,5,21,92,88435.08737864078
Lesothosaurus,0,0,10,1276.378640776699
Lettuce,18,43,24,41679.73786407767
"Levee failures in Greater New Orleans, 2005",3,5,10,267.3203883495146
Lhasa,6,19,19,19709.33009708738
Liberal Democrats,7,29,46,13295.932038834952
Liberal democracy,33,80,79,34090.601941747576
Liberalism,19,64,140,127292.81553398058
Liberia,8,50,82,139368.84466019418
Libertarianism,15,30,47,116024.88349514564
Library,47,108,155,50255.71844660194
Library of Alexandria,7,23,19,77232.61165048544
Library of Congress,17,37,38,46062.23300970874
Libreville,2,25,11,10378.766990291262
Libya,18,98,163,139177.74757281554
Liechtenstein,5,30,157,154823.0776699029
Life,203,409,70,78536.11650485436
Light,79,287,209,85832.23300970874
Lighthouse of Alexandria,0,2,13,63328.12621359223
Lighting designer,12,15,3,3958.6116504854367
Lightning rod,7,33,18,21258.650485436894
Lille,5,22,61,29925.281553398057
Lilongwe,1,24,12,9184.621359223302
Lima,11,29,32,49761.320388349515
Limerick,5,15,51,27713.88349514563
Lincoln (automobile),0,0,18,2101.621359223301
Lincoln Town Car,0,0,4,25966.242718446603
Lindisfarne Gospels,4,10,16,6521.669902912621
Linear algebra,7,26,25,37527.34951456311
Linguistics,69,176,61,86889.47572815535
Link (The Legend of Zelda),13,6,6,23413.747572815533
Linnet,0,0,11,908.7378640776699
Linus Pauling,7,34,69,32475.233009708736
Linus Torvalds,9,58,24,53581.87378640777
Linux,39,189,77,255105.4854368932
Lion,88,729,184,216374.73786407767
Lipid,14,35,22,48820.31067961165
Liquid crystal,15,16,16,19702.456310679612
Lisbon,10,39,125,83572.19417475729
List of African countries,0,0,68,394.07766990291265
List of Archbishops of Canterbury,1,2,20,5538.73786407767
List of Asian countries,1,2,64,377.621359223301
List of Canadian provinces and territories by area,0,0,4,24523.825242718445
List of European Union member states by accession,2,5,93,190.96116504854368
List of European countries,1,2,62,666.5825242718447
List of French monarchs,13,23,19,52534.601941747576
List of North American countries,0,0,49,210.3495145631068
List of Oceanian countries,0,1,45,137.4368932038835
List of Prime Ministers of the United Kingdom,9,47,79,80040.3786407767
List of South American countries,0,0,25,213.27184466019418
List of Test cricket triple centuries,6,7,9,18010.514563106797
List of U.S. states by date of statehood,23,29,18,4300.349514563107
List of animal welfare groups,0,0,2,2551.5825242718447
List of areas in the National Park System of the United States,12,44,23,6768.78640776699
List of circulating currencies,24,58,244,35310.28155339806
List of countries,13,55,760,7024.165048543689
List of countries by system of government,49,126,453,38753.31067961165
List of elements by name,25,274,239,475.7281553398058
List of essential oils,6,25,21,10171.941747572815
List of lakes,0,0,109,6115.0679611650485
List of members of the Commonwealth of Nations by date joined,0,0,54,34.42718446601942
List of minerals,1,7,19,31748.44660194175
List of monarchs in the British Isles,14,12,68,300.7669902912621
List of particles,0,0,12,17738.728155339806
List of popes,7,24,34,112129.0
List of rivers by length,13,59,159,62172.68932038835
List of sovereign states,8,40,259,104769.04854368932
List of universities in the United Kingdom,16,39,4,16755.66990291262
List of vegetable oils,6,25,49,13670.368932038835
List of world's largest lakes,0,0,20,1503.3398058252428
Literacy,35,52,63,31889.85436893204
Literature,116,238,124,72969.06796116506
Lithium,10,37,80,93320.2718446602
Lithium aluminium hydride,8,15,18,8424.621359223302
Lithuania,10,44,241,189872.0776699029
Little Women,3,4,16,127224.0
Liverpool,20,77,179,111466.03883495145
Liverpool F.C.,18,31,22,431115.01941747573
Liverpool and Manchester Railway,8,19,18,5391.961165048544
Llandudno,4,4,19,10523.631067961165
Llywelyn the Great,3,12,14,11948.436893203883
Local community,1,0,1,2497.242718446602
Local government in the United Kingdom,5,20,21,3381.126213592233
Loch,2,34,27,8389.058252427185
Loch Ness,3,29,13,42644.271844660194
Logba language,0,0,5,225.51456310679612
Logic,56,92,63,71090.40776699029
Logistics,8,15,18,65317.70873786408
Lomé,1,5,19,9496.883495145632
London,366,899,951,457015.93203883496
London Bridge,9,52,29,56929.155339805824
London Underground,42,60,38,71175.45631067961
London Zoo,9,25,19,11433.815533980582
London sewerage system,3,11,9,6854.42718446602
Lone Wolf (gamebooks),0,0,0,3976.747572815534
Long-billed Vulture,1,1,11,10.450980392156863
Long-tailed Tit,0,0,9,417.94174757281553
Long pepper,5,13,12,11088.699029126214
Longship,5,24,17,14276.116504854368
Looney Tunes,25,18,22,69521.1359223301
Lope de Barrientos,0,0,14,208.94174757281553
Lord's Resistance Army,2,8,16,25235.699029126212
Lord Voldemort,18,59,17,117169.4854368932
"Los Angeles, California",78,109,193,51351.42718446602
Lost (TV series),15,10,31,157769.58252427186
Lothal,3,13,33,13863.621359223302
Lottie Dod,0,0,14,1762.126213592233
Louis Armstrong,25,34,38,128457.55339805825
Louis Freeh,0,0,6,11548.640776699029
Louis Jordan,1,15,23,9274.47572815534
Louis Pasteur,13,39,25,74199.52427184465
Louis XIV of France,15,52,80,163663.03883495147
"Louisville, Kentucky",6,16,103,68382.77669902913
Lovage,4,6,16,15522.378640776698
Love,47,99,75,155395.71844660194
"Lucy, Lady Duff-Gordon",3,1,9,7325.864077669903
Ludwig Wittgenstein,5,26,59,54641.398058252424
Ludwig van Beethoven,17,97,41,222018.6990291262
Luftwaffe,17,52,60,54946.00970873787
Luminiferous aether,5,13,21,13294.223300970874
Lunar eclipse,6,50,24,82965.52427184465
Lung cancer,21,63,51,58421.94174757282
Lusaka,8,6,12,15641.14563106796
Lutetium,3,17,35,10094.368932038835
Luxembourg,16,43,151,215184.0776699029
Luxembourg (city),1,12,27,4283.466019417476
Lyme disease,6,31,30,225203.93203883496
Lyndon B. Johnson,9,40,50,288657.66019417474
Lynton and Barnstaple Railway,2,0,14,1725.2427184466019
Lyon,7,21,51,125083.46601941748
M*A*S*H (TV series),3,2,13,118906.44660194175
M-10001,0,0,5,554.747572815534
M-10003-6,0,0,4,89.41747572815534
M1 motorway,7,24,22,13062.330097087379
M25 motorway,8,35,23,17491.368932038837
M6 motorway,7,16,23,10880.553398058253
MINI (BMW),10,15,8,239.126213592233
Macau,4,21,77,151943.6213592233
Macbeth,21,67,51,136211.33009708737
Macbeth of Scotland,12,12,21,1780.1359223300972
Macedon,13,30,168,9509.95145631068
Machu Picchu,11,37,20,183850.96116504853
Macintosh,43,118,34,55212.31067961165
Mackenzie River,4,14,10,10061.368932038835
Madagascar,48,107,255,169420.53398058252
Madama Butterfly,7,12,10,39181.34951456311
Madrid,22,57,138,107848.06796116506
Magdalena Abakanowicz,0,0,21,7710.339805825242
Magellanic Penguin,10,43,18,358.19417475728153
Maghreb,25,46,36,44676.95145631068
Magic  The Gathering,10,25,20,
Maglev train,5,18,24,1497.8058252427184
Magma,18,117,52,23910.47572815534
Magna Carta,14,68,70,160845.5436893204
Magnesium,18,99,118,83428.7572815534
Magnet,13,35,190,51105.25242718447
Magnetism,27,86,163,34809.844660194176
Magpie,5,14,16,48165.49514563107
Mahabharata,3,15,34,122117.41747572816
Mahatma Gandhi,17,62,79,623017.2718446602
Mahjong,8,10,21,59492.90291262136
Mahmoud Abbas,1,4,30,43386.63106796116
Maiasaura,3,10,15,4579.9320388349515
Maize,76,213,122,105932.55339805825
Makuria,3,8,24,4691.446601941748
Malaria,34,99,97,113332.05825242719
Malaspina Glacier,3,7,2,848.6407766990292
Malawi,9,36,177,76726.61165048544
Malaysia,35,103,230,313570.6116504854
Malcolm III of Scotland,1,14,25,12481.398058252427
Malcolm II of Scotland,3,9,19,6143.514563106796
Malcolm X,8,33,45,328922.6504854369
Maldives,7,40,77,275557.4466019418
Mali,8,48,100,115892.92233009709
Mallard,2,13,20,39213.611650485436
Malta,6,37,132,284467.82524271845
Malwa (Madhya Pradesh),4,0,32,95.8252427184466
Mamenchisaurus,0,0,15,3647.0679611650485
Mammal,576,1496,251,147681.08737864078
Mammoth,9,37,67,43711.446601941745
Mammoth Cave National Park,4,13,25,22350.78640776699
Mancala,4,19,20,25964.699029126212
Manchester,23,150,231,121263.23300970874
Manchester United F.C.,20,105,41,586749.9417475729
Mandan,5,9,13,7916.097087378641
Manganese,6,37,66,53908.271844660194
Mango,8,79,64,90421.49514563107
Manifest Destiny,27,47,61,9787.058252427185
Manifold,7,19,20,34182.98058252427
Manila,7,21,71,90861.91262135922
Manorialism,3,11,17,13936.68932038835
Manuel I Komnenos,2,14,31,7763.592233009709
Manufacturing,60,92,80,48875.77669902913
Mao Zedong,8,66,62,229711.3495145631
Map projection,4,6,7,28417.718446601943
Maputo,5,11,21,18490.796116504855
Marc Pugh,0,0,2,3480.893203883495
Marcel Lefebvre,2,10,18,6916.640776699029
Marcel Proust,1,9,25,47281.271844660194
Marco Polo,16,18,44,150860.572815534
Marcus Allen,3,8,4,33070.46601941747
Margaret Sanger,5,12,14,68060.53398058252
Margaret Thatcher,13,34,110,364433.00970873784
Margate,2,4,16,13197.844660194174
Margin of error,5,11,5,15813.271844660194
Marginated Tortoise,0,0,19,244.67961165048544
Marie Curie,11,57,27,245660.53398058252
Mario,20,154,53,90672.45631067961
Marjoram,1,7,49,21934.02912621359
Mark Antony,13,18,35,98058.82524271845
Mark Twain,14,38,55,154885.3495145631
Mark Twain House,3,13,5,2975.0582524271845
Mark Webber,2,10,20,20264.59223300971
Market,38,71,50,7013.281553398058
Markup language,11,27,9,24875.300970873788
Mars,70,239,402,209640.9708737864
Mars Exploration Rover,24,44,29,14357.611650485436
Mars Reconnaissance Orbiter,13,36,19,8377.922330097088
Marseille,6,29,76,70833.56310679612
Marshall Islands,11,33,50,79256.11650485436
Marshall Plan,3,19,72,67253.33980582525
Martello tower,0,0,24,7822.796116504855
Martin Luther,33,59,128,167129.55339805825
"Martin Luther King, Jr.",27,84,68,88679.54368932039
Martin Van Buren,6,17,30,79558.47572815535
Martina Navratilova,2,11,18,78831.19417475729
Martinique,4,15,83,63526.17475728155
Marvin Gaye,5,21,23,190057.4077669903
Marxism,17,81,159,143978.12621359224
Mary II of England,7,39,48,37957.922330097084
Mary I of England,4,32,57,228299.41747572814
Mary I of Scotland,8,40,50,1005.6893203883495
Mary Kingsley,0,0,7,2806.640776699029
Mary Seacole,2,14,32,23510.88349514563
Mary Somerville,0,0,7,8933.271844660194
Maseru,0,16,6,8077.8932038834955
Mass Rapid Transit (Singapore),7,5,12,24103.47572815534
Mass media,153,275,102,83734.11650485436
Massospondylus,4,9,17,1851.6601941747572
Material properties of diamond,3,16,32,10006.077669902912
Mathematical analysis,11,26,33,18417.776699029127
Mathematics,178,771,214,171278.1067961165
Matilda of Boulogne,4,16,6,2044.4757281553398
Matrix (mathematics),12,10,19,79081.16504854368
Matsuo Bashō,1,2,5,10181.757281553399
Matter,37,121,56,52599.78640776699
Matthew Brettingham,4,5,11,758.8737864077669
Mauna Loa,10,12,14,32279.68932038835
Mauritania,9,27,95,106612.18446601942
Mauritius,7,47,115,255843.3009708738
Mausoleum of Maussollos,0,0,26,655.6796116504854
Mauthausen-Gusen concentration camp,7,4,11,10381.621359223302
Max Planck,8,22,33,39614.01941747573
Max Weber,8,18,69,60451.49514563107
Maxwell's equations,17,32,38,68446.35922330097
Maya civilization,18,69,74,125331.79611650485
Maya mythology,5,22,22,6747.533980582524
Mayotte,4,12,43,37125.077669902916
Mbabane,2,8,11,7342.747572815534
McFly (band),3,3,12,372.6116504854369
Meander,4,14,9,14350.349514563106
Measles,8,30,27,112554.66990291262
Measurement,17,20,23,36570.49514563107
Meat,37,131,59,40619.601941747576
Mecca,11,49,41,125477.83495145632
Mechanical work,11,32,21,2480.7087378640776
Medal of Honor,15,22,49,106829.89320388349
Medicine,100,345,142,75022.35922330097
Medieval commune,5,11,16,3776.6796116504856
Medieval literature,13,15,34,8760.184466019418
Medieval music,7,22,31,22971.0
Mediterranean Sea,158,476,253,102945.35922330097
Mega Man X (character),0,0,4,1300.893203883495
Meitnerium,1,5,18,8778.553398058253
Mekong,7,15,36,28040.747572815533
Melbourne,19,68,130,134699.73786407767
Mendelevium,5,19,23,7263.834951456311
Mendip Hills,3,33,36,3651.5533980582522
Meningitis,8,34,24,122610.26213592233
Menstrual cycle,9,24,14,80721.73786407767
Mentha,6,18,32,30202.6213592233
Menthol,5,15,12,28837.11650485437
Mercantilism,14,22,33,43369.19417475728
Mercia,9,22,55,42157.35922330097
Mercury (element),21,78,124,106944.91262135922
Mercury (planet),18,61,92,124704.2718446602
Merrimack River,4,12,8,3859.3009708737864
Merseburg Incantations,2,14,6,1367.3203883495146
Mesopotamia,116,204,154,170002.78640776698
Mestizo,16,27,89,72138.46601941748
Metal,96,293,196,61148.155339805824
Metallurgy,8,48,45,27274.349514563106
Metamorphic rock,5,40,30,34591.45631067961
Meteor,12,37,103,6215.980582524272
Meteor shower,8,19,5,14384.864077669903
Meteorological history of Hurricane Katrina,4,30,20,2694.631067961165
Meteorology,28,100,60,29472.174757281555
Metric expansion of space,8,41,26,8610.456310679612
Mexico,472,657,536,356515.6116504854
Mexico City,92,114,90,194331.78640776698
"Miami, Florida",33,33,137,13643.611650485436
Michael Faraday,20,64,31,68036.94174757281
Michael Jordan,13,77,21,790838.1262135922
Michael Ramsey,3,10,10,3449.1844660194174
Michael Woodruff,0,0,13,806.1165048543689
Michelangelo,27,47,43,153983.55339805825
Michigan State University,11,31,37,31868.368932038837
Mickey Mantle,5,13,13,61390.446601941745
Microraptor,3,20,19,7978.485436893204
Microscope,26,97,43,48299.912621359224
Microsoft,101,489,107,299317.1067961165
Microsoft Windows,72,511,51,409534.1553398058
Middle Ages,208,404,373,155441.79611650485
Middle East,139,453,292,151189.6504854369
Midway Atoll,3,11,26,40334.00970873787
Miguel de Cervantes,7,10,26,37982.077669902916
Mikhail Gorbachev,21,32,85,217474.0
Milan,17,72,107,108046.68932038835
Miles Davis,10,40,28,130887.69902912622
Milgram experiment,2,22,8,79183.16504854368
Military dictatorship,8,32,93,26719.09708737864
Military history of Canada,0,0,52,6952.679611650486
Military history of France,0,0,90,7399.242718446602
Military history of Puerto Rico,0,0,62,2689.6019417475727
Military history of the Soviet Union,0,5,83,4343.699029126214
Milk,57,194,182,83003.03883495145
Milk thistle,0,0,8,2523.106796116505
Milkshake,3,5,10,29283.242718446603
Milky Way,38,134,67,181929.73786407767
Millard Fillmore,2,15,24,63583.70873786408
Milton Keynes,3,13,34,43996.077669902916
Mind,71,106,44,40756.59223300971
Mineral,76,212,158,52521.93203883495
Ming Dynasty,18,50,53,10256.912621359223
Mini,11,19,370,56422.74757281553
Minimum wage,8,20,37,44743.59223300971
Mining,30,134,117,52167.66019417476
Minmi (dinosaur),2,4,11,561.6310679611651
"Minneapolis, Minnesota",8,14,69,11082.077669902912
Minnesota,36,87,201,142035.33980582524
Minoan civilization,9,28,68,50341.83495145631
Minstrel show,7,6,18,38057.446601941745
Miocene,9,16,60,21770.233009708736
Mir,8,24,79,34299.029126213594
Mirabilis (plant),0,0,4,1787.2330097087379
Miranda Otto,2,16,15,59715.54368932039
Mississippi River,51,165,83,98046.09708737864
Missouri River,20,43,37,33865.436893203885
Mistle Thrush,1,8,13,140.41747572815535
Mitochondrial Eve,9,15,11,31472.29126213592
Mitochondrion,17,27,22,81565.93203883494
Mixed-breed dog,5,7,12,2441.339805825243
Mixtape,0,0,13,19793.699029126212
Modern history,8,5,102,22042.456310679612
Modernist poetry in English,4,10,54,6275.9126213592235
Mogadishu,5,17,39,39756.077669902916
Mohs scale of mineral hardness,8,19,77,39401.36893203884
Moldova,6,37,100,177819.572815534
Moldovans,2,9,16,7023.718446601942
Mole (animal),4,6,21,40328.2427184466
Molybdenum,3,20,68,42513.320388349515
Momentum,17,36,34,55674.46601941747
Mona Lisa,15,57,51,259623.8058252427
Monaco,5,49,88,230944.53398058252
Monaco Grand Prix,4,38,10,35766.679611650485
Monarchies in the European Union,5,9,53,25.854368932038835
Monarchy,35,119,200,53378.553398058255
Monarda didyma,0,0,14,2612.097087378641
Money,83,205,59,74877.35922330097
Mongol Empire,16,45,57,128699.2718446602
Mongol invasion of Central Asia,0,0,16,2251.126213592233
Mongolia,22,123,126,191927.68932038834
Mongoose,8,12,27,61716.64077669903
Monkey,14,93,64,93498.84466019417
Monoclonius,6,10,18,1295.378640776699
Monopoly (game),7,27,37,94673.74757281554
Monrovia,2,16,16,23289.398058252427
Montenegro,8,27,151,185881.58252427186
Montevideo,2,14,29,36142.54368932039
Montreal,12,70,146,147016.25242718446
Montreal Metro,3,31,11,11711.514563106795
Montserrat,6,20,51,73783.95145631068
Monty Python,16,43,61,116532.15533980583
Moon,117,657,242,242535.78640776698
Moon landing,18,49,17,264631.99029126216
Moore's Law,3,4,17,2590.970873786408
Moorgate,0,0,13,1973.893203883495
Moorhen,0,0,10,4564.640776699029
Morecambe Bay,0,8,12,4957.47572815534
Morecambe and Wise,3,6,12,12228.961165048544
Moringa oleifera,1,4,39,64707.388349514564
Mormon,14,23,32,9800.378640776698
Mormon Trail,4,9,10,6798.601941747573
Morocco,31,95,210,290601.22330097086
Morphine,9,36,26,83954.15533980583
Morris dance,5,3,21,14671.194174757282
Mosaic,12,25,46,26796.941747572815
Moscow,29,106,214,149802.93203883496
Mosque,15,28,127,38814.04854368932
Moss,17,25,21,37211.844660194176
Mother Teresa,4,25,40,271030.3009708738
Motion (physics),35,51,24,24560.398058252427
Mount Baker,3,13,11,11713.582524271844
Mount Everest,20,91,47,304417.33980582526
Mount Kilimanjaro,14,33,20,98649.30097087378
Mount Nyiragongo,1,16,13,10904.087378640777
"Mount Osmond, South Australia",2,1,7,227.2621359223301
Mount Pinatubo,9,13,41,37459.59223300971
Mount Rainier,4,22,19,59345.46601941747
Mount Rushmore,8,31,37,174972.43689320388
Mount St. Helens,9,27,78,81093.23300970874
Mount Unzen,3,8,8,6765.252427184466
Mount Vesuvius,6,44,31,78645.40776699029
Mountain Gorilla,3,18,15,713.9708737864078
Mozambique,15,52,260,101940.89320388349
Mozilla Firefox,15,104,31,10921.85436893204
Mu Arae,4,12,18,1102.9611650485438
Muhammad,46,72,215,352049.2912621359
Muhammad Ali,1,18,44,608570.1359223301
Muhammad Ali Jinnah,5,15,31,121865.52427184465
Muhammad Iqbal,2,8,34,62631.94174757282
Muhammad ibn Musa al-Khwarizmi,7,15,26,26171.504854368934
Multiculturalism,27,62,75,34541.95145631068
Multiple sclerosis,5,13,46,189045.29126213593
Multiple sequence alignment,4,9,7,6278.135922330097
Mumbai,12,43,98,259171.3203883495
Mummy,8,43,63,41766.42718446602
Munich,15,58,126,111082.0
Murray River,3,16,22,12740.747572815533
"Muscat, Oman",4,2,34,20590.3786407767
Music,296,696,604,611590.1165048544
Music of Albania,0,0,14,2639.6019417475727
Music of Antigua and Barbuda,3,7,13,1179.6990291262136
Music of Barbados,7,20,22,1765.9708737864078
Music of Dominica,5,5,19,1142.0679611650485
Music of Hawaii,3,16,18,4936.0485436893205
Music of Hungary,4,19,24,2435.0679611650485
Music of Ireland,8,16,25,7069.398058252427
Music of Italy,3,11,31,6208.864077669903
Music of Martinique and Guadeloupe,1,3,23,126.67961165048544
Music of New Zealand,3,23,17,3602.2815533980583
Music of Spain,13,18,45,8002.26213592233
Music of Thailand,0,0,15,6334.058252427184
Music of Trinidad and Tobago,2,16,30,2722.9417475728155
Music of the Bahamas,5,10,28,1612.3106796116506
Music of the Lesser Antilles,2,3,24,579.6601941747573
Music of the United States,49,98,64,15489.883495145632
Music of the trecento,5,7,13,58.47572815533981
Musical instrument,46,249,56,38571.7572815534
Mustard plant,8,28,21,23995.019417475727
